product_id,status,list_price,unit_price,sale_price,store_id
1838053!item.en-US,in stock,4599.99,4599.99,4599.99,847_0-edi
1533892!item.en-US,in stock,11299.99,11299.99,11299.99,847_0-edi
1873164!item.en-US,in stock,3299.99,3299.99,3299.99,1250-3pl
1839412!item.en-US,in stock,1149.99,1149.99,1149.99,847_0-edi
1650331!item.en-US,out of stock,4749.99,4749.99,4749.99,847_0-edi
1839414!item.en-US,in stock,3399.99,3399.99,3399.99,847_0-edi
1650368!item.en-US,in stock,2699.99,2699.99,2699.99,847_0-edi
1813383!item.en-US,in stock,1229.99,1229.99,1229.99,847_ss_u362-edi
1708796!item.en-US,in stock,8499.99,8499.99,8499.99,847_0-edi
1708798!item.en-US,in stock,7999.99,7999.99,7999.99,847_0-edi
1708799!item.en-US,in stock,10499.99,10499.99,10499.99,847_0-edi
1675067!item.en-US,in stock,2499.99,2499.99,2499.99,847_lg_n1f-edi
1813384!item.en-US,in stock,1099.99,1099.99,1099.99,1250-3pl
1356530!item.en-US,in stock,749.99,749.99,749.99,1250-3pl
1663899!item.en-US,in stock,339.99,339.99,339.99,847_lg_n1f-edi
1811877!item.en-US,in stock,1249.99,1249.99,1249.99,1250-3pl
1437882!item.en-US,in stock,1399.99,1399.99,1399.99,847_0-edi
615348!item.en-US,in stock,799.99,799.99,799.99,1250-3pl
1225155!item.en-US,in stock,1299.99,1299.99,1299.99,847_0-edi
1570503!item.en-US,out of stock,1599.99,1599.99,1599.99,1-wh
1315132!item.en-US,in stock,219.99,219.99,219.99,847_0-edi
1225152!item.en-US,in stock,1249.99,1249.99,1249.99,847_0-edi
1269958!item.en-US,out of stock,1479.99,1479.99,1479.99,1-wh
1811878!item.en-US,in stock,1349.99,1349.99,1349.99,1250-3pl
1225156!item.en-US,in stock,1399.99,1399.99,1399.99,847_0-edi
1225154!item.en-US,in stock,1349.99,1349.99,1349.99,847_0-edi
1659249!item.en-US,in stock,1149.99,1149.99,1149.99,847_0-edi
1281364!item.en-US,in stock,2199.99,2199.99,2199.99,1250-3pl
1878026!item.en-US,in stock,239.99,239.99,239.99,847_0-edi
4881975!item.en-US,in stock,129.99,129.99,129.99,847_0-edi
6565000!item.en-US,in stock,54.99,54.99,54.99,731-wm
3603480!item.en-US,in stock,179.99,179.99,179.99,1-wh
8413025!item.en-US,in stock,249.99,249.99,249.99,731-wm
4440772!item.en-US,in stock,49.99,49.99,49.99,731-wm
1738491!item.en-US,in stock,399.99,299.99,299.99,847_0-edi
1195144!item.en-US,in stock,229.99,229.99,229.99,847_0-edi
2264722!item.en-US,in stock,129.99,129.99,129.99,731-wm
1437355!item.en-US,in stock,87.99,87.99,87.99,847_0-edi
1768101!item.en-US,in stock,279.99,279.99,279.99,731-wm
387776!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1434024!item.en-US,in stock,2399.99,2399.99,2399.99,847_0-edi
1743750!item.en-US,in stock,229.99,229.99,229.99,847_0-edi
2658467!item.en-US,in stock,169.99,169.99,169.99,1-wh
1081890!item.en-US,in stock,99.99,99.99,99.99,1-wh
1741541!item.en-US,in stock,129.99,129.99,129.99,1-wh
2303477!item.en-US,in stock,399.99,299.99,299.99,952-wm
2561883!item.en-US,in stock,399.99,299.99,299.99,731-wm
1007408!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
5883930!item.en-US,in stock,69.99,49.99,49.99,1-wh
4248298!item.en-US,in stock,129.99,129.99,129.99,1-wh
2845969!item.en-US,in stock,549.99,549.99,549.99,731-wm
2813942!item.en-US,in stock,129.99,129.99,129.99,1-wh
6232432!item.en-US,in stock,49.99,49.99,49.99,1-wh
4569569!item.en-US,in stock,29.99,29.99,29.99,731-wm
5588088!item.en-US,in stock,159.99,159.99,159.99,731-wm
1848354!item.en-US,in stock,119.99,79.99,79.99,847_0-edi
1892789!item.en-US,in stock,79.99,79.99,79.99,731-wm
3346542!item.en-US,in stock,34.99,28.99,28.99,1-wh
4234400!item.en-US,out of stock,139.99,139.99,139.99,1-wh
2780289!item.en-US,in stock,14.99,14.99,14.99,1-wh
3543442!item.en-US,in stock,48.99,48.99,48.99,731-wm
1897654!item.en-US,low stock,79.99,79.99,79.99,1-wh
1703326!item.en-US,in stock,114.99,114.99,114.99,847_0-edi
1835898!item.en-US,in stock,179.99,139.99,139.99,1-wh
1415869!item.en-US,in stock,149.97,149.97,149.97,731-wm
1727122!item.en-US,in stock,79.99,59.99,59.99,1-wh
1838044!item.en-US,in stock,189.99,149.99,149.99,731-wm
1909331!item.en-US,in stock,99.99,99.99,99.99,1-wh
1919935!item.en-US,in stock,129.99,129.99,129.99,847_0-edi
1743459!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1887805!item.en-US,in stock,124.99,124.99,124.99,731-wm
1187445!item.en-US,in stock,189.99,189.99,189.99,731-wm
2782278!item.en-US,in stock,39.99,39.99,39.99,847_0-edi
1851363!item.en-US,in stock,189.99,189.99,189.99,731-wm
842249!item.en-US,in stock,49.99,49.99,49.99,847_0-edi
1902789!item.en-US,in stock,199.99,199.99,199.99,1-wh
6640772!item.en-US,in stock,39.99,39.99,39.99,731-wm
2703222!item.en-US,in stock,159.99,159.99,159.99,847_0-edi
1833647!item.en-US,in stock,149.99,149.99,149.99,847_0-edi
2781607!item.en-US,in stock,39.99,39.99,39.99,1-wh
6881975!item.en-US,in stock,99.99,79.99,79.99,1-wh
1693560!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1891200!item.en-US,in stock,599.99,599.99,599.99,731-wm
1909814!item.en-US,in stock,149.99,119.99,119.99,1321-wm
1898182!item.en-US,in stock,39.99,39.99,39.99,847_0-edi
1727880!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1895927!item.en-US,in stock,119.99,119.99,119.99,847_0-edi
1693561!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1896579!item.en-US,in stock,169.99,169.99,169.99,847_0-edi
1844962!item.en-US,in stock,1399.99,1399.99,1399.99,731-wm
1811362!item.en-US,in stock,149.99,149.99,149.99,847_0-edi
1841768!item.en-US,in stock,699.99,699.99,699.99,1321-wm
1909357!item.en-US,in stock,129.99,129.99,129.99,847_0-edi
1770395!item.en-US,in stock,139.99,139.99,139.99,847_0-edi
1405484!item.en-US,in stock,179.98,179.98,179.98,847_0-edi
1848601!item.en-US,in stock,249.99,249.99,249.99,847_0-edi
1906215!item.en-US,in stock,2499.99,2499.99,2499.99,847_0-edi
1892461!item.en-US,in stock,42.99,42.99,42.99,847_0-edi
1883314!item.en-US,in stock,34.99,34.99,34.99,847_0-edi
1831133!item.en-US,in stock,69.99,69.99,69.99,847_0-edi
1920281!item.en-US,in stock,899.99,899.99,899.99,731-wm
5399632!item.en-US,in stock,99.99,99.99,99.99,731-wm
654495!item.en-US,in stock,369.99,369.99,369.99,847_0-edi
1923846!item.en-US,in stock,49.99,49.99,49.99,731-wm
1906223!item.en-US,in stock,2399.99,2399.99,2399.99,847_0-edi
1858826!item.en-US,in stock,699.99,699.99,699.99,731-wm
1545353!item.en-US,in stock,99.99,99.99,99.99,725-wm
1878026!item.en-US,in stock,239.99,239.99,239.99,847_0-edi
1908759!item.en-US,in stock,199.99,199.99,199.99,847_0-edi
1829364!item.en-US,in stock,399.99,399.99,399.99,847_0-edi
1883671!item.en-US,in stock,399.99,399.99,399.99,847_0-edi
100142466!item.en-US,in stock,1.03,1.03,1.03,9847-wcs
1913615!item.en-US,in stock,699.99,549.99,549.99,847_0-edi
1755447!item.en-US,in stock,1499.99,1499.99,1499.99,847_0-edi
