id,name,gtin,category,brand,rating
P03020469,"Member's Mark Italian Style Beef Meatballs, Frozen 6 lbs.",19396834387,1517,Member's Mark,4.6098
prod7820267,"Smucker's Uncrustables Peanut Butter and Grape Jelly Sandwiches, Frozen, 18 ct.",5150082601,1516,Smucker's,4.7943
162441,"Kellogg's Eggo Homestyle Waffles, Frozen 60 ct.",3800040240,1483,Kellogg's,4.6759
P990331024,"Member's Mark Cinnamon French Toast Sticks, Frozen, 48 oz.",19396835185,1483,Member's Mark,4.7476
P00014883,"Country Pride Breaded Chicken Breast Tenders, Frozen, 5 lbs.",7701316377,1515,Country Pride,4.4886
P03020312,Red Baron Frozen Pizza Deep Dish Singles (12 ct.),7218076174,1519,Red Baron,4.6298
197055,"Member's Mark 75/25 Seasoned Ground Beef Patties, Frozen, 1/4 lb., 40 ct.",7874210100,1515,Member's Mark,4.5356
149686,"Ore-Ida Golden Crinkles French Fries, Frozen 8 lbs.",1312008572,1517,Ore-Ida,4.7369
P03000994,"Member's Mark Boneless and Skinless Chicken Breasts, Frozen, 10 lbs.",19396814811,1515,Member's Mark,4.5197
P03004656,"Hot Pockets Pepperoni Pizza Sandwiches, Frozen, 20 ct.",4369563063,1516,Hot Pockets,4.623
prod21372050,"Member's Mark 1""x1"" Cheesecake Minis, Variety Pack, 63 ct.",7874226174,1525,Member's Mark,4.7327
prod22101497,"Member's Mark Steamable Broccoli Florets 1 lb., 4 pk.",7874221126,1521,Member's Mark,4.686
P03012465,"Just Bare Lightly Breaded Chicken Breast Original Strips, Frozen, 3 lbs.",7701361560,1515,Just Bare,4.7982
prod20071564,"Tyson Crispy Chicken Breast Strips, Frozen, 3.5 lbs.",2370004285,1515,Tyson,4.4582
prod14610047,"Member's Mark Chicken Fried Rice, Frozen, 9 oz., 6 ct.",7874215278,1516,Member's Mark,4.5204
P990326397,"Marie Callender's Chicken Pot Pies, Frozen, 8 pk.",2113137567,1516,Marie Callendar's,4.5156
P990388117,"Sublime Desserts Macarons Assorted Flavors, Frozen, 36 ct.",77507094939,1525,Sublime Desserts,4.4457
prod23222517,"Gorton’s Super Crunchy Fish Sticks, Frozen, 64 ct.",4440010490,1515,Gorton's Seafood,4.7025
P03010883,"Swaggerty's Breakfast Sausage, Frozen, 42 ct.",7602000871,1483,Swaggerty's Farm,4.8469
prod21122916,"Totino's Frozen Pizza Rolls, Pepperoni 160 ct.",4280049481,1517,Totino's,4.5753
P990326402,"Jimmy Dean Original Pancake and Sausage on a Stick, Frozen, 20 ct.",7790000270,1483,Jimmy Dean,4.7417
prod22121609,"Member's Mark Natural Sliced Strawberries, Frozen, 4 lbs.",7874228525,1521,Member's Mark,4.8034
prod20295335,"Member's Mark 80/20 Ground Angus Beef Patties, Frozen, 1/3 lb., 18 ct.",7874211341,1515,Member's Mark,4.673
163465,"FatBoy Premium Vanilla Ice Cream Sandwich, Frozen 18 ct.",7786500201,1525,FatBoy,4.8069
prod22770720,"Member's Mark Skinless and Boneless Atlantic Salmon Fillet Portions, Frozen, 2.5 lbs.",19396805983,1515,Member's Mark,4.7758
P990322580,"Jimmy Dean Fully Cooked Breakfast Pork Sausage Patties, 24 ct.",7790000249,1515,Jimmy Dean,4.7308
